Marital status,Nacionality,Gender,Age at enrollment,Displaced,International,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,Unemployment rate,Inflation rate,GDP,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Admission grade,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations)
1,1,1,20,1,0,19,12,5,9,0,0,1,0,10.8,1.4,1.74,17,5,171,1,1,122.0,127.3,0,0,0,0,0.0,0
1,1,1,19,1,0,1,3,3,3,0,0,0,0,13.9,-0.3,0.79,15,1,9254,1,1,160.0,142.5,0,6,6,6,14.0,0
1,1,1,19,1,0,37,37,9,9,0,0,0,0,10.8,1.4,1.74,1,5,9070,1,1,122.0,124.8,0,6,0,0,0.0,0
1,1,0,20,1,0,38,37,5,3,0,0,1,0,9.4,-0.8,-3.12,17,2,9773,1,1,122.0,119.6,0,6,8,6,13.428571428571429,0
2,1,0,45,0,0,37,38,9,9,0,0,1,0,13.9,-0.3,0.79,39,1,8014,0,1,100.0,141.5,0,6,9,5,12.333333333333334,0
2,1,1,50,0,0,37,37,9,7,0,1,1,0,16.2,0.3,-0.92,39,1,9991,0,19,133.1,114.8,0,5,10,5,11.857142857142858,0
1,1,0,18,1,0,19,38,7,10,0,0,1,1,15.5,2.8,-4.06,1,1,9500,1,1,142.0,128.4,0,7,9,7,13.3,0
1,1,1,22,1,0,37,37,9,9,0,0,0,0,15.5,2.8,-4.06,18,4,9254,1,1,119.0,113.1,0,5,5,0,0.0,0
1,62,0,21,0,1,1,1,9,9,0,0,1,1,16.2,0.3,-0.92,1,3,9238,1,1,137.0,129.3,0,6,8,6,13.875,0
1,1,0,18,1,0,1,19,4,7,0,1,0,0,8.9,1.4,3.51,1,1,9238,1,1,138.0,123.0,0,6,9,5,11.4,0
1,1,0,18,1,0,38,19,5,7,0,0,1,0,13.9,-0.3,0.79,1,1,9670,1,1,139.0,130.6,0,6,6,6,12.333333333333334,0
1,1,0,18,1,0,19,38,9,9,0,0,1,1,12.7,3.7,-1.7,1,1,9500,1,1,136.0,119.3,0,8,8,7,13.214285714285714,0
1,1,0,19,1,0,19,37,4,9,0,0,1,0,12.7,3.7,-1.7,1,2,9853,1,1,133.0,130.2,0,6,6,0,0.0,0
1,1,0,21,1,0,1,1,4,7,0,0,1,1,8.9,1.4,3.51,53,1,9254,1,42,110.0,111.8,0,6,7,6,10.571428571428571,0
1,1,0,18,1,0,38,37,5,5,0,0,1,1,10.8,1.4,1.74,1,1,9085,1,1,149.0,137.1,0,5,7,4,13.25,0
1,1,0,20,1,0,19,37,9,3,0,0,1,0,15.5,2.8,-4.06,1,1,9773,1,1,127.0,120.7,0,6,6,5,13.2,0
1,1,0,18,1,0,19,1,5,4,0,0,1,0,15.5,2.8,-4.06,17,2,9500,1,1,135.0,127.3,0,7,8,7,13.30625,0
1,1,0,20,1,0,3,19,3,5,0,0,1,0,10.8,1.4,1.74,1,1,9130,1,1,137.0,136.3,0,5,8,4,12.5,1
1,1,0,21,0,0,1,1,9,8,0,0,1,1,11.1,0.6,2.02,1,3,171,1,1,122.0,120.3,0,0,0,0,0.0,0
1,1,0,18,1,0,19,19,1,1,0,0,1,0,12.7,3.7,-1.7,1,4,9500,1,1,142.0,125.5,0,8,12,7,12.857142857142858,0
1,1,0,19,1,0,1,38,4,7,0,0,1,1,11.1,0.6,2.02,1,4,9670,1,1,125.0,114.9,0,6,8,6,13.375,0
1,1,0,19,0,0,19,19,3,7,0,0,1,0,11.1,0.6,2.02,1,1,9500,1,1,126.0,123.9,0,7,8,6,13.296666666666669,0
1,1,0,21,1,0,19,38,7,8,0,0,1,0,16.2,0.3,-0.92,17,2,9238,1,1,115.0,116.4,0,6,9,6,11.375,0
1,1,0,20,1,0,19,1,9,9,0,0,1,0,16.2,0.3,-0.92,1,1,9147,1,1,135.0,122.1,0,5,6,5,12.0,0
1,1,1,20,1,0,42,3,125,124,0,0,1,0,8.9,1.4,3.51,51,1,9070,1,1,125.0,130.0,2,6,7,6,12.833333333333334,0
1,1,0,19,1,0,19,1,9,5,0,0,1,0,12.4,0.5,1.79,18,1,8014,0,1,138.0,134.5,0,6,6,6,12.666666666666666,0
1,1,1,34,0,0,2,37,3,9,0,0,1,0,13.9,-0.3,0.79,1,1,9991,0,1,130.0,131.4,0,5,6,5,12.4,0
1,1,1,37,0,0,38,37,9,6,0,1,0,0,8.9,1.4,3.51,39,1,33,1,1,130.0,102.5,0,7,7,0,0.0,0
1,1,1,43,1,0,34,37,0,0,0,0,1,0,7.6,2.6,0.32,39,1,9119,1,10,133.1,128.8,0,5,0,0,0.0,0
1,1,0,55,0,0,37,37,6,6,0,0,1,0,16.2,0.3,-0.92,43,1,9147,1,1,140.0,122.9,0,5,10,1,10.0,0
4,1,0,39,1,0,19,19,9,3,0,0,1,0,7.6,2.6,0.32,39,1,9991,0,1,120.0,113.9,0,5,8,5,11.0,0
1,6,0,20,0,1,4,4,3,6,0,1,0,0,12.4,0.5,1.79,44,1,9130,1,39,120.0,120.0,2,6,13,3,11.666666666666666,0
1,1,0,18,0,0,3,3,2,2,0,1,1,0,12.7,3.7,-1.7,1,5,9773,1,1,126.0,121.1,0,6,6,4,12.75,0
1,1,0,22,1,0,3,19,2,7,0,0,1,0,8.9,1.4,3.51,1,2,9147,1,1,133.0,120.4,0,5,5,5,14.8,0
1,1,0,22,1,0,1,3,2,2,1,0,1,0,11.1,0.6,2.02,1,6,9500,1,1,103.0,100.6,0,7,9,5,13.928,0
1,1,0,20,0,0,1,38,5,5,0,0,0,0,12.4,0.5,1.79,17,1,9773,1,1,120.0,121.4,0,6,7,4,13.0,0
